X,Y,Shift,Age,Primary_fur_color,Location,Ground_Sighting_Measure,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from,Day,Plot_number,Section
-73.9602609920814,40.7942883045566,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,False,True,13,35,C
-73.9680635070949,40.779249873647,AM,Adult,Black,Above Ground,10,False,False,False,False,True,False,False,False,False,False,False,True,False,17,17,E
-73.9801666435401,40.7686905339212,PM,Adult,Gray,Ground Plane,0,True,False,False,False,False,False,False,False,False,False,False,False,False,13,2,B
-73.9675634326877,40.7813477352507,AM,Juvenile,Gray,Ground Plane,0,False,False,True,True,False,False,False,False,False,False,False,False,False,7,19,D
-73.9584970643213,40.7982886348696,AM,Juvenile,Gray,Ground Plane,0,True,True,False,False,False,False,False,False,False,True,True,False,False,19,40,B
-73.9760298241178,40.7681954366911,PM,Adult,Gray,Ground Plane,0,False,False,False,True,True,False,False,False,False,False,False,True,False,8,3,E
-73.9568802149818,40.7972399133816,PM,Adult,Gray,Ground Plane,0,True,False,False,False,True,False,False,False,False,False,False,True,False,6,39,C
-73.9724642436394,40.7690526441109,AM,Juvenile,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,8,6,G
-73.9690175838534,40.7760432720017,AM,Juvenile,Gray,Ground Plane,0,False,False,False,True,False,False,False,False,False,False,False,True,False,7,14,F
-73.9704082821356,40.7690280985956,PM,Adult,Gray,Ground Plane,0,False,False,False,False,False,False,False,False,False,True,False,False,False,13,6,I
-73.9684910712272,40.7768811640021,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,10,15,F
-73.9768674812942,40.7735232648872,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,False,True,12,8,B
-73.9797084866613,40.7698885241349,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,False,True,17,3,A
-73.952819267977,40.7923130402793,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,17,36,I
-73.9745630038492,40.7692602628745,AM,Adult,Cinnamon,Ground Plane,0,True,False,False,False,False,False,False,False,False,False,True,False,False,8,5,E
-73.9595002339508,40.7903365788694,PM,Adult,Gray,Ground Plane,0,False,False,False,True,True,False,False,False,False,False,False,True,False,17,32,E
-73.9741824992294,40.7689486657963,PM,Adult,Gray,Ground Plane,0,False,False,False,False,False,False,False,False,False,True,False,True,False,7,5,F
-73.9749243901189,40.7761393551781,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,14,11,B
-73.968381325559,40.7780143443779,PM,Adult,Cinnamon,Ground Plane,0,False,False,False,False,True,False,False,False,False,True,False,True,False,18,16,E
